student_id,nom_complet,age,sexe,serie,notes_detaillees,moyenne_generale,matieres_fortes,matieres_faibles,centres_interet,competences,preferences_env,objectif_professionnel,filieres_compatibles,filiere_recommandee,parcours_recommande,score_compatibilite,niveau_confiance,justification
STD_2026_0228,Nomena Andriantsitohaina,19,F,L,Philosophie:13.96; Français et Littérature:13.48; Anglais:15.37; LV2:16.06; Malagasy:14.8; Histoire-Géographie:11.65; Éducation civique:12.62; Mathématiques:8.91; Arts / options culturelles:14.2; EPS:11.46,13.65,LV2; Anglais,EPS; Mathématiques,Nature & Écologie; Musique,Conduite de chantier BTP; AutoCAD/Revit; Résolution de problèmes,Laboratoire & R&D,Conducteur de travaux,GCA; ESIIA; FIC,GCA,Génie Industriel et Génie Civil,39.79,Faible,"Excellente adéquation avec la série L et bonnes notes en LV2, Anglais. Profil aligné avec l'objectif de Conducteur de travaux."
STD_2026_0229,Dina Ramanantsoa,17,F,C,"Mathématiques:19.31; Sciences Physiques, Chimiques et Technologie (SPCT):11.37; Français:12.63; Philosophie:13.56; Malagasy:9.31; Histoire-Géographie:11.39; Anglais:11.33; SVT:11.14; EPS:6.95",13.1,Mathématiques; Philosophie,Malagasy; EPS,Programmation & Code; Économie & Bourse,Raffinage et extraction; Génie des procédés; Résolution de problèmes,Sur le terrain / Chantier,Responsable d'extraction,ICMP; IGGLIA; CAA,ICMP,Génie Industriel et Génie Civil,79.96,Élevé,"Excellente adéquation avec la série C et bonnes notes en Mathématiques, Philosophie. Profil aligné avec l'objectif de Responsable d'extraction."
STD_2026_0230,Fitia Rajaonarivelo,18,F,D,"SVT:18.21; Sciences Physiques, Chimiques et Technologie (SPCT):16.34; Mathématiques:15.87; Français:14.25; Philosophie:13.95; Malagasy:11.6; Histoire-Géographie:13.22; Anglais:11.58; EPS:7.83",14.81,"SVT; Sciences Physiques, Chimiques et Technologie (SPCT)",Anglais; EPS,Programmation & Code; Dessin & Design,Électronique numérique; Microcontrôleurs IoT; Résolution de problèmes,Bureau & Télétravail,Ingénieur Robotique,ESIIA; EMII; CAA,ESIIA,Informatique et Télécommunication,62.5,Moyen,"Excellente adéquation avec la série D et bonnes notes en SVT, Sciences Physiques, Chimiques et Technologie (SPCT). Profil aligné avec l'objectif de Ingénieur Robotique."
STD_2026_0231,Hasina Andriantsitohaina,19,M,S,Mathématiques:11.89; Sciences Physiques et Chimiques:15.21; SVT / Biologie-Géologie:16.22; Français:12.42; Philosophie:12.07; Malagasy:11.15; Histoire-Géographie:5.63; Anglais:11.46; EPS:10.26,12.71,SVT / Biologie-Géologie; Sciences Physiques et Chimiques,EPS; Histoire-Géographie,Jeux de Stratégie; Programmation & Code,SQL & Bases de données; Algorithmique & Python; Résolution de problèmes,Sur le terrain / Chantier,Ingénieur Génie Logiciel,IGGLIA; EMP; ESIIA,IGGLIA,Informatique et Télécommunication,71.81,Moyen,"Excellente adéquation avec la série S et bonnes notes en SVT / Biologie-Géologie, Sciences Physiques et Chimiques. Profil aligné avec l'objectif de Ingénieur Génie Logiciel."
STD_2026_0232,Tojo Rasoanaivo,21,M,G,Mathématiques de gestion:17.55; Gestion / Comptabilité:13.75; Français:10.25; Anglais:12.78; Économie:15.42; Histoire-Géographie:15.41; Philosophie:11.42; EPS:6.85,13.5,Mathématiques de gestion; Économie,Français; EPS,Musique; Nature & Écologie,Réseaux informatiques; UI/UX Design; Résolution de problèmes,Bureau & Télétravail,Administrateur Réseaux & TIC,IMTICIA; PIP; EMP,IMTICIA,Informatique et Télécommunication,81.35,Élevé,"Excellente adéquation avec la série G et bonnes notes en Mathématiques de gestion, Économie. Profil aligné avec l'objectif de Administrateur Réseaux & TIC."
STD_2026_0233,Vero Randriamampianina,18,M,Technique,Mathématiques appliquées:14.55; Physique appliquée / Technologie:12.0; Dessin technique:13.31; Français:12.77; Anglais:12.79; Philosophie:6.66; EPS:17.0,12.94,EPS; Mathématiques appliquées,Physique appliquée / Technologie; Philosophie,Nature & Écologie; Musique,Python / R Data; Machine Learning & Deep Learning; Résolution de problèmes,Laboratoire & R&D,Data Scientist,ISAIA; IGGLIA; CAA,ISAIA,Informatique et Télécommunication,58.45,Moyen,"Excellente adéquation avec la série Technique et bonnes notes en EPS, Mathématiques appliquées. Profil aligné avec l'objectif de Data Scientist."
STD_2026_0234,Lova Andriantsitohaina,16,M,A,Philosophie:18.1; Français:14.05; Malagasy:5.99; Histoire-Géographie:7.84; Anglais:9.72; LV2:12.68; Mathématiques:10.81; SVT / Sciences humaines:9.89; EPS:7.69,11.34,Philosophie; Français,EPS; Malagasy,Dessin & Design; Jeux de Stratégie,Ingénierie touristique; Écotourisme & Biodiversité; Résolution de problèmes,Bureau & Télétravail,Responsable Parc Naturel,TEE; GCA; TEH,TEE,Techniques du Tourisme,72.83,Moyen,"Excellente adéquation avec la série A et bonnes notes en Philosophie, Français. Profil aligné avec l'objectif de Responsable Parc Naturel."
STD_2026_0235,Dina Rakotomalala,16,F,A1,Philosophie:19.54; Français:16.63; Malagasy:11.95; Histoire-Géographie:9.97; Anglais:11.69; LV2:14.04; Mathématiques:6.09; SVT / Sciences humaines:8.43; EPS:12.6,13.33,Philosophie; Français,SVT / Sciences humaines; Mathématiques,Sport d'équipe; Volontariat,Management hôtelier; Yield Management; Résolution de problèmes,Bureau & Télétravail,Manager d'Hôtel,TEH; PIP; EMP,TEH,Techniques du Tourisme,76.04,Élevé,"Excellente adéquation avec la série A1 et bonnes notes en Philosophie, Français. Profil aligné avec l'objectif de Manager d'Hôtel."
STD_2026_0236,Hery Rasoanaivo,18,M,A2,Philosophie:17.36; Français:13.5; Malagasy:12.25; Histoire-Géographie:7.91; Anglais:8.41; LV2:15.61; Mathématiques:7.97; SVT / Sciences humaines:6.64; EPS:13.82,12.12,Philosophie; LV2,Histoire-Géographie; SVT / Sciences humaines,Sport d'équipe; Volontariat,Techniques de Vente; Negociation internationale; Résolution de problèmes,Bureau & Télétravail,Responsable Commercial,CAA; TEE; EMP,CAA,Techniques des Affaires,69.63,Moyen,"Excellente adéquation avec la série A2 et bonnes notes en Philosophie, LV2. Profil aligné avec l'objectif de Responsable Commercial."
STD_2026_0237,Tiana Rabenjamina,19,M,L,Philosophie:13.57; Français et Littérature:14.29; Anglais:10.61; LV2:6.35; Malagasy:10.96; Histoire-Géographie:9.96; Éducation civique:8.96; Mathématiques:11.63; Arts / options culturelles:15.96; EPS:8.42,11.24,Arts / options culturelles; Français et Littérature,EPS; LV2,Jeux de Stratégie; Volontariat,Rédaction juridique; Analyse fiscale; Résolution de problèmes,Bureau & Télétravail,Consultant Fiscaliste,DTJA; IAA; GCA,DTJA,Techniques des Affaires,72.92,Moyen,"Excellente adéquation avec la série L et bonnes notes en Arts / options culturelles, Français et Littérature. Profil aligné avec l'objectif de Consultant Fiscaliste."
STD_2026_0238,Toky Rakotomalala,18,F,C,"Mathématiques:17.64; Sciences Physiques, Chimiques et Technologie (SPCT):16.91; Français:12.81; Philosophie:9.67; Malagasy:10.61; Histoire-Géographie:11.35; Anglais:12.63; SVT:17.09; EPS:12.15",14.74,Mathématiques; SVT,Malagasy; Philosophie,Sport d'équipe; Volontariat,Gestion des risques; Analyse financière; Résolution de problèmes,Laboratoire & R&D,Consultant en Organisation,EMP; GCA; AEE,EMP,Techniques des Affaires,83.1,Élevé,"Excellente adéquation avec la série C et bonnes notes en Mathématiques, SVT. Profil aligné avec l'objectif de Consultant en Organisation."
STD_2026_0239,Andry Ratsimbazafy,21,M,D,"SVT:14.11; Sciences Physiques, Chimiques et Technologie (SPCT):13.32; Mathématiques:18.14; Français:13.92; Philosophie:10.67; Malagasy:11.08; Histoire-Géographie:12.5; Anglais:15.05; EPS:13.44",14.11,Mathématiques; Anglais,Malagasy; Philosophie,Programmation & Code; Robotique,Contrôle de gestion; Gestion de trésorerie; Résolution de problèmes,Entreprise industrielle,Directeur Financier (CFO),FIC; CAA; DTJA,FIC,Techniques des Affaires,89.79,Élevé,"Excellente adéquation avec la série D et bonnes notes en Mathématiques, Anglais. Profil aligné avec l'objectif de Directeur Financier (CFO)."
STD_2026_0240,Nary Rabenjamina,20,M,S,Mathématiques:15.37; Sciences Physiques et Chimiques:9.95; SVT / Biologie-Géologie:10.96; Français:9.14; Philosophie:6.9; Malagasy:9.73; Histoire-Géographie:11.24; Anglais:15.76; EPS:13.67,11.75,Anglais; Mathématiques,Français; Philosophie,Jeux de Stratégie; Musique,Gestion d'exploitation; Agronomie; Résolution de problèmes,Bureau & Télétravail,Chef d'exploitation,AEE; PIP; ESIIA,AEE,Biotechnologie et Agronomie,69.33,Moyen,"Excellente adéquation avec la série S et bonnes notes en Anglais, Mathématiques. Profil aligné avec l'objectif de Chef d'exploitation."
STD_2026_0241,Andry Rakotomalala,19,F,G,Mathématiques de gestion:13.6; Gestion / Comptabilité:15.14; Français:12.64; Anglais:9.15; Économie:18.74; Histoire-Géographie:11.23; Philosophie:11.69; EPS:10.0,13.34,Économie; Gestion / Comptabilité,EPS; Anglais,Sport d'équipe; Volontariat,Contrôle qualité HACCP; Microbiologie; Résolution de problèmes,Sur le terrain / Chantier,Ingénieur Agroalimentaire,IAA; FIC; IMTICIA,IAA,Biotechnologie et Agronomie,52.23,Faible,"Excellente adéquation avec la série G et bonnes notes en Économie, Gestion / Comptabilité. Profil aligné avec l'objectif de Ingénieur Agroalimentaire."
STD_2026_0242,Soa Rabenjamina,16,M,Technique,Mathématiques appliquées:12.25; Physique appliquée / Technologie:17.54; Dessin technique:12.7; Français:10.64; Anglais:12.4; Philosophie:14.21; EPS:10.5,13.39,Physique appliquée / Technologie; Philosophie,Français; EPS,Jeux de Stratégie; Musique,Normes GMP/BPF; Analyse en laboratoire; Résolution de problèmes,Espaces de Coworking / Startup,Responsable contrôle qualité labo,PIP; ESIIA; DTJA,PIP,Biotechnologie et Agronomie,49.26,Faible,"Excellente adéquation avec la série Technique et bonnes notes en Physique appliquée / Technologie, Philosophie. Profil aligné avec l'objectif de Responsable contrôle qualité labo."
STD_2026_0243,Faly Ratsimbazafy,20,M,A,Philosophie:14.29; Français:12.91; Malagasy:11.26; Histoire-Géographie:12.71; Anglais:11.17; LV2:18.37; Mathématiques:7.67; SVT / Sciences humaines:7.21; EPS:7.19,12.15,LV2; Philosophie,SVT / Sciences humaines; EPS,Robotique; Sport d'équipe,Électrotechnique; Automatisme PLC; Résolution de problèmes,Bureau & Télétravail,Automaticien,EMII; GCA; IAA,EMII,Génie Industriel et Génie Civil,45.12,Faible,"Excellente adéquation avec la série A et bonnes notes en LV2, Philosophie. Profil aligné avec l'objectif de Automaticien."
STD_2026_0244,Nomena Randriamampianina,18,F,A1,Philosophie:18.19; Français:13.12; Malagasy:11.6; Histoire-Géographie:16.81; Anglais:11.53; LV2:14.57; Mathématiques:7.82; SVT / Sciences humaines:7.64; EPS:11.05,13.38,Philosophie; Histoire-Géographie,Mathématiques; SVT / Sciences humaines,Volontariat; Robotique,Conduite de chantier BTP; Calcul de structures; Résolution de problèmes,Bureau & Télétravail,Chef de chantier BTP,GCA; IMTICIA; ESIIA,GCA,Génie Industriel et Génie Civil,55.32,Moyen,"Excellente adéquation avec la série A1 et bonnes notes en Philosophie, Histoire-Géographie. Profil aligné avec l'objectif de Chef de chantier BTP."
STD_2026_0245,Mirana Randriamampianina,16,M,A2,Philosophie:9.78; Français:11.65; Malagasy:10.58; Histoire-Géographie:10.16; Anglais:9.9; LV2:9.03; Mathématiques:11.8; SVT / Sciences humaines:10.93; EPS:9.29,10.31,Mathématiques; Français,EPS; LV2,Lecture & Écriture; Sport d'équipe,Géologie minière; Génie des procédés; Résolution de problèmes,Entreprise industrielle,Géologue minier,ICMP; EMII; IGGLIA,ICMP,Génie Industriel et Génie Civil,54.12,Faible,"Excellente adéquation avec la série A2 et bonnes notes en Mathématiques, Français. Profil aligné avec l'objectif de Géologue minier."
STD_2026_0246,Toky Randriamampianina,21,M,L,Philosophie:14.35; Français et Littérature:11.99; Anglais:9.48; LV2:9.87; Malagasy:12.98; Histoire-Géographie:11.23; Éducation civique:11.51; Mathématiques:6.54; Arts / options culturelles:14.96; EPS:9.01,11.43,Arts / options culturelles; Philosophie,EPS; Mathématiques,Dessin & Design; Lecture & Écriture,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Sur le terrain / Chantier,Développeur IoT,ESIIA; ISAIA; CAA,ESIIA,Informatique et Télécommunication,39.77,Faible,"Excellente adéquation avec la série L et bonnes notes en Arts / options culturelles, Philosophie. Profil aligné avec l'objectif de Développeur IoT."
STD_2026_0247,Andry Rabenjamina,16,M,C,"Mathématiques:15.39; Sciences Physiques, Chimiques et Technologie (SPCT):12.9; Français:8.66; Philosophie:13.68; Malagasy:11.12; Histoire-Géographie:16.4; Anglais:9.79; SVT:14.88; EPS:12.83",13.22,Histoire-Géographie; Mathématiques,Anglais; Français,Programmation & Code; Volontariat,SQL & Bases de données; Algorithmique & Python; Résolution de problèmes,Entreprise industrielle,Architecte SI,IGGLIA; PIP; GCA,IGGLIA,Informatique et Télécommunication,75.85,Élevé,"Excellente adéquation avec la série C et bonnes notes en Histoire-Géographie, Mathématiques. Profil aligné avec l'objectif de Architecte SI."
STD_2026_0248,Mialy Ratsimbazafy,18,M,D,"SVT:19.0; Sciences Physiques, Chimiques et Technologie (SPCT):15.91; Mathématiques:12.86; Français:12.17; Philosophie:12.95; Malagasy:12.55; Histoire-Géographie:10.27; Anglais:7.46; EPS:11.74",13.94,"SVT; Sciences Physiques, Chimiques et Technologie (SPCT)",Histoire-Géographie; Anglais,Dessin & Design; Volontariat,Réseaux informatiques; Infographie & 3D; Résolution de problèmes,Laboratoire & R&D,Designer UI/UX,IMTICIA; IAA; PIP,IMTICIA,Informatique et Télécommunication,72.12,Moyen,"Excellente adéquation avec la série D et bonnes notes en SVT, Sciences Physiques, Chimiques et Technologie (SPCT). Profil aligné avec l'objectif de Designer UI/UX."
STD_2026_0249,Mirana Randriamampianina,21,M,S,Mathématiques:13.54; Sciences Physiques et Chimiques:15.09; SVT / Biologie-Géologie:14.67; Français:12.31; Philosophie:8.48; Malagasy:13.53; Histoire-Géographie:7.05; Anglais:12.68; EPS:12.2,13.02,Sciences Physiques et Chimiques; SVT / Biologie-Géologie,Philosophie; Histoire-Géographie,Dessin & Design; Nature & Écologie,Machine Learning & Deep Learning; Python / R Data; Résolution de problèmes,Entreprise industrielle,Data Scientist,ISAIA; EMII; AEE,ISAIA,Informatique et Télécommunication,78.91,Élevé,"Excellente adéquation avec la série S et bonnes notes en Sciences Physiques et Chimiques, SVT / Biologie-Géologie. Profil aligné avec l'objectif de Data Scientist."
STD_2026_0250,Dina Rakotomalala,16,F,G,Mathématiques de gestion:16.94; Gestion / Comptabilité:16.08; Français:12.56; Anglais:16.51; Économie:19.23; Histoire-Géographie:9.34; Philosophie:14.2; EPS:15.67,15.61,Économie; Mathématiques de gestion,Français; Histoire-Géographie,Robotique; Programmation & Code,Écotourisme & Biodiversité; Ingénierie touristique; Résolution de problèmes,Espaces de Coworking / Startup,Responsable Parc Naturel,TEE; IMTICIA; ICMP,TEE,Techniques du Tourisme,83.01,Élevé,"Excellente adéquation avec la série G et bonnes notes en Économie, Mathématiques de gestion. Profil aligné avec l'objectif de Responsable Parc Naturel."
STD_2026_0251,Vero Ratsimbazafy,18,M,Technique,Mathématiques appliquées:12.41; Physique appliquée / Technologie:17.54; Dessin technique:12.13; Français:8.72; Anglais:14.49; Philosophie:12.85; EPS:13.46,13.48,Physique appliquée / Technologie; Anglais,Dessin technique; Français,Robotique; Économie & Bourse,Gestion événementielle; Management hôtelier; Résolution de problèmes,Espaces de Coworking / Startup,Directeur de l'Hébergement,TEH; ICMP; FIC,TEH,Techniques du Tourisme,50.21,Faible,"Excellente adéquation avec la série Technique et bonnes notes en Physique appliquée / Technologie, Anglais. Profil aligné avec l'objectif de Directeur de l'Hébergement."
STD_2026_0252,Nary Razafindrakoto,21,M,A,Philosophie:13.97; Français:12.75; Malagasy:19.48; Histoire-Géographie:11.64; Anglais:14.68; LV2:14.84; Mathématiques:14.43; SVT / Sciences humaines:8.02; EPS:13.66,13.96,Malagasy; LV2,Histoire-Géographie; SVT / Sciences humaines,Dessin & Design; Nature & Écologie,Analyse Marché; Marketing Digital; Résolution de problèmes,Laboratoire & R&D,Business Developer,CAA; EMII; FIC,CAA,Techniques des Affaires,82.88,Élevé,"Excellente adéquation avec la série A et bonnes notes en Malagasy, LV2. Profil aligné avec l'objectif de Business Developer."
STD_2026_0253,Rova Rabenjamina,19,M,A1,Philosophie:14.77; Français:11.7; Malagasy:13.45; Histoire-Géographie:13.86; Anglais:14.17; LV2:13.61; Mathématiques:8.54; SVT / Sciences humaines:6.83; EPS:11.25,12.61,Philosophie; Anglais,Mathématiques; SVT / Sciences humaines,Robotique; Dessin & Design,Rédaction juridique; Analyse fiscale; Résolution de problèmes,Laboratoire & R&D,Juriste d'Entreprise,DTJA; ISAIA; CAA,DTJA,Techniques des Affaires,80.49,Élevé,"Excellente adéquation avec la série A1 et bonnes notes en Philosophie, Anglais. Profil aligné avec l'objectif de Juriste d'Entreprise."
STD_2026_0254,Tiana Ramanantsoa,20,M,A2,Philosophie:14.81; Français:16.06; Malagasy:11.42; Histoire-Géographie:8.3; Anglais:14.01; LV2:10.64; Mathématiques:6.88; SVT / Sciences humaines:9.93; EPS:8.56,11.96,Français; Philosophie,Histoire-Géographie; Mathématiques,Dessin & Design; Programmation & Code,Étude d'impact économique; Gestion des risques; Résolution de problèmes,Bureau & Télétravail,Scrum Master,EMP; EMII; GCA,EMP,Techniques des Affaires,72.58,Moyen,"Excellente adéquation avec la série A2 et bonnes notes en Français, Philosophie. Profil aligné avec l'objectif de Scrum Master."
STD_2026_0255,Soa Rajaonarivelo,19,M,L,Philosophie:15.56; Français et Littérature:14.83; Anglais:8.97; LV2:20.0; Malagasy:11.57; Histoire-Géographie:5.19; Éducation civique:9.33; Mathématiques:9.0; Arts / options culturelles:12.69; EPS:12.99,12.69,LV2; Philosophie,Anglais; Histoire-Géographie,Économie & Bourse; Jeux de Stratégie,Comptabilité générale & analytique; Contrôle de gestion; Résolution de problèmes,Entreprise industrielle,Auditeur Financier,FIC; AEE; ISAIA,FIC,Techniques des Affaires,54.83,Faible,"Excellente adéquation avec la série L et bonnes notes en LV2, Philosophie. Profil aligné avec l'objectif de Auditeur Financier."
STD_2026_0256,Andry Rakotomalala,20,F,C,"Mathématiques:15.33; Sciences Physiques, Chimiques et Technologie (SPCT):13.75; Français:11.93; Philosophie:10.61; Malagasy:14.88; Histoire-Géographie:12.16; Anglais:11.24; SVT:14.12; EPS:7.81",13.15,Mathématiques; Malagasy,Philosophie; EPS,Volontariat; Robotique,Zootechnie; Analyse des sols; Résolution de problèmes,Sur le terrain / Chantier,Responsable d'élevage,AEE; PIP; DTJA,AEE,Biotechnologie et Agronomie,80.52,Élevé,"Excellente adéquation avec la série C et bonnes notes en Mathématiques, Malagasy. Profil aligné avec l'objectif de Responsable d'élevage."
STD_2026_0257,Fitia Razafindrakoto,19,M,D,"SVT:15.32; Sciences Physiques, Chimiques et Technologie (SPCT):20.0; Mathématiques:11.04; Français:9.13; Philosophie:11.68; Malagasy:10.92; Histoire-Géographie:14.0; Anglais:8.74; EPS:8.92",13.21,"Sciences Physiques, Chimiques et Technologie (SPCT); SVT",EPS; Anglais,Volontariat; Économie & Bourse,Process agroalimentaires; Biochimie alimentaire; Résolution de problèmes,Entreprise industrielle,Biologiste industriel,IAA; ISAIA; IMTICIA,IAA,Biotechnologie et Agronomie,75.19,Élevé,"Excellente adéquation avec la série D et bonnes notes en Sciences Physiques, Chimiques et Technologie (SPCT), SVT. Profil aligné avec l'objectif de Biologiste industriel."
STD_2026_0258,Vero Rakotomalala,19,M,S,Mathématiques:16.11; Sciences Physiques et Chimiques:18.48; SVT / Biologie-Géologie:17.08; Français:16.41; Philosophie:8.7; Malagasy:11.69; Histoire-Géographie:9.84; Anglais:10.46; EPS:13.42,15.05,Sciences Physiques et Chimiques; SVT / Biologie-Géologie,Histoire-Géographie; Philosophie,Musique; Robotique,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Laboratoire & R&D,Technicien supérieur en pharmacologie,PIP; ISAIA; EMII,PIP,Biotechnologie et Agronomie,90.59,Élevé,"Excellente adéquation avec la série S et bonnes notes en Sciences Physiques et Chimiques, SVT / Biologie-Géologie. Profil aligné avec l'objectif de Technicien supérieur en pharmacologie."
STD_2026_0259,Vero Rajaonarivelo,19,M,G,Mathématiques de gestion:13.97; Gestion / Comptabilité:14.32; Français:15.27; Anglais:13.61; Économie:13.29; Histoire-Géographie:10.56; Philosophie:9.8; EPS:12.03,13.42,Français; Gestion / Comptabilité,Histoire-Géographie; Philosophie,Jeux de Stratégie; Économie & Bourse,Maintenance industrielle; Automatisme PLC; Résolution de problèmes,Entreprise industrielle,Automaticien,EMII; ESIIA; IGGLIA,EMII,Génie Industriel et Génie Civil,56.21,Moyen,"Excellente adéquation avec la série G et bonnes notes en Français, Gestion / Comptabilité. Profil aligné avec l'objectif de Automaticien."
STD_2026_0260,Tiana Razafindrakoto,21,F,Technique,Mathématiques appliquées:20.0; Physique appliquée / Technologie:15.47; Dessin technique:14.19; Français:10.31; Anglais:9.7; Philosophie:15.55; EPS:10.6,14.69,Mathématiques appliquées; Philosophie,Français; Anglais,Programmation & Code; Musique,AutoCAD/Revit; Métré et devis; Résolution de problèmes,Laboratoire & R&D,Conducteur de travaux,GCA; TEH; TEE,GCA,Génie Industriel et Génie Civil,89.2,Élevé,"Excellente adéquation avec la série Technique et bonnes notes en Mathématiques appliquées, Philosophie. Profil aligné avec l'objectif de Conducteur de travaux."
STD_2026_0261,Hasina Randriamampianina,19,F,A,Philosophie:12.5; Français:15.7; Malagasy:12.74; Histoire-Géographie:9.18; Anglais:13.73; LV2:14.13; Mathématiques:11.48; SVT / Sciences humaines:8.26; EPS:9.28,12.34,Français; LV2,Histoire-Géographie; SVT / Sciences humaines,Dessin & Design; Sport d'équipe,Raffinage et extraction; Géologie minière; Résolution de problèmes,Entreprise industrielle,Ingénieur QHSE,ICMP; EMP; TEH,ICMP,Génie Industriel et Génie Civil,48.33,Faible,"Excellente adéquation avec la série A et bonnes notes en Français, LV2. Profil aligné avec l'objectif de Ingénieur QHSE."
STD_2026_0262,Fitia Randriamampianina,19,M,A1,Philosophie:14.97; Français:17.21; Malagasy:10.29; Histoire-Géographie:12.62; Anglais:10.23; LV2:14.74; Mathématiques:14.42; SVT / Sciences humaines:8.38; EPS:7.54,12.94,Français; Philosophie,SVT / Sciences humaines; EPS,Jeux de Stratégie; Programmation & Code,Électronique numérique; C/C++ embarqué; Résolution de problèmes,Espaces de Coworking / Startup,Ingénieur Robotique,ESIIA; GCA; TEH,ESIIA,Informatique et Télécommunication,55.87,Moyen,"Excellente adéquation avec la série A1 et bonnes notes en Français, Philosophie. Profil aligné avec l'objectif de Ingénieur Robotique."
STD_2026_0263,Fitia Rabenjamina,19,M,A2,Philosophie:15.54; Français:11.39; Malagasy:13.95; Histoire-Géographie:14.07; Anglais:13.03; LV2:14.28; Mathématiques:11.49; SVT / Sciences humaines:7.79; EPS:10.44,12.98,Philosophie; LV2,EPS; SVT / Sciences humaines,Dessin & Design; Sport d'équipe,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Laboratoire & R&D,Data Scientist / IA,IGGLIA; EMP; DTJA,IGGLIA,Informatique et Télécommunication,76.44,Élevé,"Excellente adéquation avec la série A2 et bonnes notes en Philosophie, LV2. Profil aligné avec l'objectif de Data Scientist / IA."
STD_2026_0264,Sitraka Randriamampianina,17,M,L,Philosophie:13.6; Français et Littérature:17.46; Anglais:11.63; LV2:18.85; Malagasy:12.46; Histoire-Géographie:7.32; Éducation civique:10.42; Mathématiques:7.31; Arts / options culturelles:17.72; EPS:10.1,13.36,LV2; Arts / options culturelles,Histoire-Géographie; Mathématiques,Robotique; Volontariat,Réseaux informatiques; Infographie & 3D; Résolution de problèmes,Laboratoire & R&D,Développeur Web/Mobile,IMTICIA; IAA; PIP,IMTICIA,Informatique et Télécommunication,78.04,Élevé,"Excellente adéquation avec la série L et bonnes notes en LV2, Arts / options culturelles. Profil aligné avec l'objectif de Développeur Web/Mobile."
STD_2026_0265,Toky Rabenjamina,16,M,C,"Mathématiques:14.03; Sciences Physiques, Chimiques et Technologie (SPCT):13.1; Français:8.52; Philosophie:12.26; Malagasy:10.51; Histoire-Géographie:10.23; Anglais:13.43; SVT:18.38; EPS:11.39",12.87,SVT; Mathématiques,Histoire-Géographie; Français,Nature & Écologie; Robotique,Python / R Data; Machine Learning & Deep Learning; Résolution de problèmes,Laboratoire & R&D,Data Analyst,ISAIA; IMTICIA; AEE,ISAIA,Informatique et Télécommunication,79.62,Élevé,"Excellente adéquation avec la série C et bonnes notes en SVT, Mathématiques. Profil aligné avec l'objectif de Data Analyst."
STD_2026_0266,Dina Ramanantsoa,19,M,D,"SVT:12.51; Sciences Physiques, Chimiques et Technologie (SPCT):15.0; Mathématiques:15.16; Français:13.76; Philosophie:8.23; Malagasy:12.63; Histoire-Géographie:11.22; Anglais:12.39; EPS:8.29",12.85,"Mathématiques; Sciences Physiques, Chimiques et Technologie (SPCT)",EPS; Philosophie,Musique; Jeux de Stratégie,Guide & Médiation; Écotourisme & Biodiversité; Résolution de problèmes,Entreprise industrielle,Guide Patrimoine,TEE; EMP; ICMP,TEE,Techniques du Tourisme,78.44,Élevé,"Excellente adéquation avec la série D et bonnes notes en Mathématiques, Sciences Physiques, Chimiques et Technologie (SPCT). Profil aligné avec l'objectif de Guide Patrimoine."
STD_2026_0267,Dina Rasoanaivo,18,F,S,Mathématiques:16.24; Sciences Physiques et Chimiques:15.6; SVT / Biologie-Géologie:12.72; Français:14.78; Philosophie:13.11; Malagasy:8.49; Histoire-Géographie:14.63; Anglais:13.07; EPS:13.02,14.19,Mathématiques; Sciences Physiques et Chimiques,SVT / Biologie-Géologie; Malagasy,Musique; Économie & Bourse,Gestion événementielle; Communication interculturelle; Résolution de problèmes,Entreprise industrielle,Manager d'Hôtel,TEH; ESIIA; GCA,TEH,Techniques du Tourisme,61.15,Moyen,"Excellente adéquation avec la série S et bonnes notes en Mathématiques, Sciences Physiques et Chimiques. Profil aligné avec l'objectif de Manager d'Hôtel."
STD_2026_0268,Toky Razafindrakoto,16,M,G,Mathématiques de gestion:14.08; Gestion / Comptabilité:12.26; Français:12.49; Anglais:9.96; Économie:14.5; Histoire-Géographie:11.97; Philosophie:11.56; EPS:12.18,12.52,Économie; Mathématiques de gestion,Philosophie; Anglais,Programmation & Code; Musique,Negociation internationale; Marketing Digital; Résolution de problèmes,Sur le terrain / Chantier,Business Developer,CAA; AEE; IMTICIA,CAA,Techniques des Affaires,74.13,Moyen,"Excellente adéquation avec la série G et bonnes notes en Économie, Mathématiques de gestion. Profil aligné avec l'objectif de Business Developer."
STD_2026_0269,Andry Razafindrakoto,16,F,Technique,Mathématiques appliquées:16.58; Physique appliquée / Technologie:14.56; Dessin technique:12.26; Français:16.11; Anglais:16.61; Philosophie:17.58; EPS:14.08,15.28,Philosophie; Anglais,EPS; Dessin technique,Lecture & Écriture; Dessin & Design,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Sur le terrain / Chantier,Assistant Juridique,DTJA; EMP; IMTICIA,DTJA,Techniques des Affaires,62.62,Moyen,"Excellente adéquation avec la série Technique et bonnes notes en Philosophie, Anglais. Profil aligné avec l'objectif de Assistant Juridique."
